sample,signif,r
sample_192,0.999001,-0.01696755 
sample_193,1,-0.03323785 
sample_194,1,-0.02007614 
sample_195,1,-0.01858989 
sample_196,1,-0.01995626 
sample_197,1,-0.03143653 
sample_198,1,-0.040088 
sample_199,1,-0.0263426 
sample_200,1,-0.02336273 
sample_201,1,-0.02703852 
sample_202,1,-0.03609351 
sample_203,1,-0.01907319 
sample_204,1,-0.03855576 
sample_205,1,-0.02460927 
sample_206,1,-0.03924185 
sample_207,1,-0.0247921 
sample_208,0.995005,-0.0164089 
sample_209,1,-0.02442304 
sample_210,1,-0.03381781 
sample_211,1,-0.04089272 
sample_212,1,-0.02975143 
sample_213,0.999001,-0.01842976 
sample_214,1,-0.03398859 
sample_215,1,-0.03950143 
sample_216,1,-0.03973988 
sample_217,1,-0.03799256 
sample_218,1,-0.03705572 
sample_219,1,-0.03209236 
sample_220,0.998002,-0.01725129 
sample_221,1,-0.07731963 
sample_222,1,-0.02185897 
sample_223,1,-0.02433832 
sample_224,1,-0.02036388 
sample_225,1,-0.03238672 
sample_226,1,-0.03378011 
sample_227,1,-0.0272169 
sample_228,0.995005,-0.01373621 
sample_229,0.999001,-0.01935776 
sample_230,1,-0.03389034 
sample_231,1,-0.03007151 
sample_232,1,-0.03014425 
sample_233,1,-0.02978624 
sample_234,1,-0.03308798 
sample_235,1,-0.01851835 
sample_236,1,-0.03707521 
sample_237,1,-0.03160618 
sample_238,1,-0.04270063 
sample_239,1,-0.02234697 
sample_240,1,-0.02212594 
sample_241,0.8851149,-0.004076798 
sample_242,0.8311688,-0.008741456 
sample_243,0.9030969,-0.00483535 
sample_244,0.995005,-0.01299898 
sample_245,0.954046,-0.007068937 
sample_246,1,-0.009730482 
sample_247,0.959041,-0.01294832 
sample_248,0.992008,-0.006465099 
sample_249,0.988012,-0.008202959 
sample_250,0.5194805,-0.0008228713 
sample_251,1,-0.01276687 
sample_252,0.9020979,-0.004660213 
sample_253,0.6743257,-0.002807127 
sample_254,0.8411588,-0.005128807 
sample_255,0.3056943,0.001533523 
sample_256,0.9290709,-0.006697765 
sample_257,0.6163836,-0.002211382 
sample_258,0.6233766,-0.004581151 
sample_259,0.958042,-0.01276764 
sample_260,1,-0.01563947 
sample_261,0.999001,-0.00923839 
sample_262,1,-0.0132274 
sample_263,0.998002,-0.0108912 
sample_264,1,-0.007953469 
sample_265,0.8821179,-0.004682942 
sample_266,0.997003,-0.01075625 
sample_267,0.985015,-0.006678743 
sample_268,0.98002,-0.008741123 
sample_269,0.9430569,-0.005729705 
sample_270,1,-0.01561505 
sample_271,0.976024,-0.006845956 
sample_272,0.6683317,-0.003165155 
sample_273,0.994006,-0.009728715 
sample_274,0.5034965,-0.001109698 
sample_275,0.6453546,-0.002536336 
sample_276,0.998002,-0.00792013 
sample_277,0.6383616,-0.003611096 
sample_278,1,-0.01486473 
sample_279,0.996004,-0.009911931 
sample_280,0.979021,-0.008524463 
sample_281,0.6033966,-0.002628321 
sample_282,0.8001998,-0.00568235 
sample_283,1,-0.01867753 
sample_284,0.979021,-0.01011267 
sample_285,0.999001,-0.009914697 
sample_286,1,-0.0109364 
sample_287,0.6143856,-0.001529736 
sample_288,0.1808192,0.00503652 
sample_289,0.999001,-0.01141135 
sample_290,1,-0.021334 
