set,mean,count
set_1,0.9959165862500002,0
set_2,0.8278721333750003,0
set_3,0.99945055,0
set_4,0.88089410875,0
set_5,0.47636113646249995,11
set_6,0.8845779337499999,0
set_7,0.8699051025000001,0
set_8,0.99547952125,0
set_9,0.99787712375,0
