& al.	et al.
acrokinesia	acrocinesia
Adriatical	Adriatic
agrace	aggrace
agionym	hagionym
anaphrodisiacal	anaphrodisiac
aspy	AsPy
airsac	air sac
apprizal	appraisal
alloverish	all-overish
arctic entryway	arctic entry
amyloidal	amyloid
allopolyploidic	allopolyploid
autapomorphous	autapomorphic
Athabascanist	Athabaskanist
anti-goyism	antigoyism
Abkhas	Abkhaz
amboina	amboyna
ailourophile	ailurophile
air space	airspace
aspergil	aspergillum
aurapten	auraptene
anchylostomiasis	ancylostomiasis
anisol	anisole
abscisin	abscissin
antigonadotrophin	antigonadotropin
aksakal	aqsaqal
anti-female	antifemale}}
alt-rock	alternative rock
archimagus	archimage
after taste	aftertaste
attabal	atabal
Apollonian	apollonian
afibrinogenaemia	afibrinogenemia
ambury	anbury
arch-criminal	archcriminal
arvill	arval
Afro-Argentinian	Afro-Argentine
antiglobalisation	anti-globalization
at grade	at-grade
arthritical	arthritic
akropolis	acropolis
ashough	ashugh
acyanopsia	acyanopia
antimilitarism	anti-militarism
aestheticization	aestheticisation
adjutant-generals	adjutant generals
amanitine	amanitin
American brook charr	American brook char
anterioposterior	anteroposterior
acai	açai
ansätze	ansatz
ass breath	assbreath
agutaq	akutaq
asphaltus	asphalt
anti-choice	antichoice
accrew	accrue
antiaircraft	anti-aircraft
antivaxx	anti-vax
aluminumize	aluminize
acephalalgic	acephalgic
aestivated	estivated
alternative history	alternate history
aïoli	aioli
A-Life	A-life}}
aeonic	eonic
aboat	about
anthraxanthin	antheraxanthin
acroterion	acroterium
anti-zombie	antizombie
Abbethdin	av beit din
antecians	antœci
abridgement	abridgment
all dressed up with nowhere to go	all dressed up and nowhere to go
alineation	allineation
after body	afterbody
auto-away	autoaway
Abderian	abderian
anti-climax	anticlimax
apartheidisation	apartheidization
autophoby	autophobia
anti-depression	antidepression}}
abbeystede	abbeystead
agrotourism	agritourism
Aristotelean	Aristotelian
anthelmint	anthelmintic
amorphisation	amorphization
awroth	awrath
anæsthetist	anesthetist
Appaloosa	appaloosa
axiomatisable	axiomatizable
albuminocytologic	albuminocytological
acquired immunodeficiency syndrome	acquired immune deficiency syndrome
aftercastle	aftcastle
archimollusk	archimollusc
aumbry	ambry
aesculic acid	esculic acid
autoanalyzer	autoanalyser
alpenhorn	alphorn
at-will	at will
arm bone	armbone
analytical geometry	analytic geometry
azotæmia	azotaemia
antileucoproteinase	antileukoproteinase
ark load	arkload
abstract expressionism	Abstract Expressionism
artefacted	artifacted
antimonarchism	anti-monarchism
antiamebic	antiamoebic
all one's life is worth	all one's life's worth
amoeboid	ameboid
alleluia	hallelujah
archilute	archlute
azotaemic	azotemic
aelurophobe	ailurophobe
autotuner	auto-tuner
arsphenamin	arsphenamine
awesomesauce	awesome sauce
anesthetical	anesthetic
anyone who's anyone	anybody who is anybody
angle shoot	angle shot
apodisation	apodization
alms-house	almshouse
acroparaesthesia	acroparesthesia
antibussing	antibusing
alumn	alum
atheise	atheize
alcaid	alcaide
aurothiosulphate	aurothiosulfate
acclimatisable	acclimatizable
Aracuna	Araucana
aiguillette	aiglet
abbe	abbé
annulability	annullability
appal	appall
affranchize	affranchise
aesthesiometer	esthesiometer
alcohometry	alcoholometry
astroturf	AstroTurf
airstrike	air strike
air-hose	air hose
ayoo	ayo
axoplasma	axoplasm
allopolyploidisation	allopolyploidization
anti-thyroid	antithyroid
anberry	anbury
a capella	a cappella
adder's-tongue	adder's tongue
awesome-sauce	awesome sauce
assertible	assertable
APAn	apan
antiseptical	antiseptic
anti-revolutionary	antirevolutionary
autoapomorph	autapomorph
amebean	amoebean
applications program	application program
after-shock	aftershock
amoebous	amebous
aquathon	aquathlon
amebalike	amoebalike
air-tight	airtight
alme	almah
absolutistic	absolutist
anti-metaphysicalism	antimetaphysicalism
antiadipogenesis	antiadipogenic
amirate	emirate
analphabete	analphabet
adstriction	astriction
Axumite	Aksumite
a-choo	achoo
apomyxis	apomixis
apepsia	apepsy
agin	against
autochromosome	autosome
allover	all-over
asexualise	asexualize
antipyrin	antipyrine
arabine	arabin
Afghan hound	Afghan Hound
Absaroke	Absaroka
appenage	appanage
aquatical	aquatic
acephalochiria	acephalocheiria
artemisinine	artemisinin
altimetre	altimeter
azofloxine	azophloxin
anti-Soviet	antisoviet
agrifood	agri-food
atom bomb	atomic bomb
archebacterium	archaebacterium
asaic	ASAIC
axioplasm	axoplasm
absorbancy	absorbency
amoebicide	amebicide
aërian	aerian
aquafortis	aqua fortis
atomiser	atomizer
amock	amok
ah-choo	achoo
add on	add-on
antisepalous	antesepalous
antiglycaemic	antiglycemic
archeon	archaeon
agutak	akutaq
amortisable	amortizable
antiinflammatory	anti-inflammatory
antianaemia	antianemia
acinous	acinose
altisonous	altisonant
avantgarde	avant-garde
autoapomorphy	autapomorphy
a-life	A-life}}
airy-fairy	airy fairy
antizionist	anti-Zionist
Amazonomachia	Amazonomachy
amreeta	amrita
azithromycine	azithromycin
antiprogesteronic	antiprogesterone
acetonaemic	acetonemic
anoraky	anorakish
acculturalisation	acculturalization
aërodynamics	aerodynamics
anti-rad	antirad
assithment	assythment
autem-gogler	autem gogler
aminoaldehyde	amino aldehyde
arfal	arval
Asperger syndrome	Asperger's syndrome
aeolistic	Aeolistic
Africanderism	Afrikanerism
aquafer	aquifer
anytime soon	any time soon
anabaptise	anabaptize
alt-metal	alternative metal
azophloxine	azophloxin
Abkhasian	Abkhazian
abovecited	above-cited
