blue code of silence	blue wall of silence
Buckley syndrome	hyperimmunoglobulin E syndrome
bisphosphatidylglycerol	cardiolipin
braguinha	cavaquinho
biggerer	bigger
bioderv	biodiesel
bubble baby disease	bubble boy disease
bush rat	rock rat
bastard camphor tree	Cape quince}}
brotherfucking	motherfucking
becket bend	sheet bend
brevirostrine	brevirostral
beach buggy	dune buggy
blorch	con crud
bicycle motocross	BMX}}
babanriga	agbada
baby bouzouki	baglamas
buttkisser	kiss-ass
bush-cricket	katydid
buster collar	Elizabethan collar
beep test	bleep test
Bologna sausage	bologna
bestestestestestest	best
bistellar flip	Pachner move
biocycle	biorhythm
bravity	braveness
bride-gift	bride price
biggererer	bigger
blockorama	blocko
bridewealth	bride price
bioballistics	biolistics
behavioral psychology	behaviorism
blow-organ	melodica
binoid	bimonoid
Bronx cheer	raspberry
basioccipital	basiocciput
bosonification	bosonization
brotherly love	agape
bisperoxovanadium	bisperoxovanadate
bulbosacral	parasympathetic
babieswear	babywear
bug bomb	aerosol bomb
black bag job	black bag operation
booty bass	Miami bass
bottle whore	bottle rat
biological fuel cell	microbial fuel cell
bursacyte	B cell
bucket of rust	rustbucket}}
Brexiter	Brexiteer
black lead	graphite
bitpacked	bit-compressed
banjo dulcimer	dulcijo
babbitt metal	babbitt
blank page	blank canvas
bodhisat	bodhisattva
blowing mill	blowing house
ball pool	ball pit
biodisponibility	bioavailability
book steak	flat iron steak
breakaway glass	sugar glass
back and forward	back and forth
bullshit bingo	buzzword bingo
bush song	bush ballad
bastard sandalwood	false sandalwood
bottle-sickness	bottle-shock
bradylogia	bradyarthria
black people's time	African time
badge of merit	merit badge
biocremation	resomation
built like a shit brickhouse	built like a brick shithouse
beginner's permit	learner's permit
bichromate	dichromate
boodlery	boodlerism
bractea	bract
bioeconomical	bioeconomic
biharmonical	biharmonic
boob implant	breast implant
batá	bata
biocharacteristic	biocharacter
bathycolpous	bathykolpian
brauche	braucherei
banjo uke	banjolele
biomimesis	biomimicry
binge viewing	binge watching
brain worker	knowledge worker
Beyer-Garratt	Garratt
bounce house	bouncing castle
balconette	balcony bra
blammo	whammo
battery-operated	battery-powered
berkut	golden eagle
biotherapic	biotherapeutic
booblike	breastlike
benzodioxolane	benzodioxole
bubble boy syndrome	bubble boy disease
battening	batten
brolly dolly	grid girl
Baltimore	Baltimore oriole
Biskara boil	Aleppo boil
Big Mac sauce	burger sauce}}
best-by date	best-before date
blow out of proportions	blow out of proportion
bacterial wetwood	slime flux
boneworm	bone-eating snot flower worm
